date,region,new_cases,new_deaths
2020-02-25,부산,18,0
2020-02-25,서울,7,0
2020-02-25,세종,0,0
2020-02-25,울산,1,0
2020-02-25,인천,0,0
2020-02-25,전남,0,0
2020-02-25,전북,0,0
2020-02-25,제주,0,0
2020-02-25,충남,0,0
2020-02-25,충북,0,0
2020-02-26,강원,0,0
2020-02-26,검역,0,0
2020-02-26,경기,3,0
2020-02-26,경남,4,0
2020-02-26,경북,36,1
2020-02-26,계(명),253,2
2020-02-26,광주,0,0
2020-02-26,대구,184,1
2020-02-26,대전,0,0
2020-02-26,부산,13,0
2020-02-26,서울,8,0
2020-02-26,세종,0,0
2020-02-26,울산,1,0
2020-02-26,인천,1,0
2020-02-26,전남,0,0
2020-02-26,전북,0,0
2020-02-26,제주,0,0
2020-02-26,충남,1,0
2020-02-26,충북,2,0
2020-02-27,강원,0,0
2020-02-27,검역,0,0
2020-02-27,경기,12,0
2020-02-27,경남,11,0
2020-02-27,경북,53,0
2020-02-27,계(명),449,1
2020-02-27,광주,0,0
2020-02-27,대구,340,1
2020-02-27,대전,5,0
2020-02-27,부산,8,0
2020-02-27,서울,10,0
2020-02-27,세종,0,0
2020-02-27,울산,3,0
2020-02-27,인천,0,0
2020-02-27,전남,0,0
2020-02-27,전북,0,0
2020-02-27,제주,0,0
2020-02-27,충남,5,0
2020-02-27,충북,2,0
2020-02-28,강원,0,0
2020-02-28,검역,0,0
2020-02-28,경기,11,0
2020-02-28,경남,10,0
2020-02-28,경북,74,0
2020-02-28,계(명),427,1
2020-02-28,광주,0,0
2020-02-28,대구,296,1
2020-02-28,대전,4,0
2020-02-28,부산,5,0
2020-02-28,서울,7,0
2020-02-28,세종,0,0
2020-02-28,울산,5,0
2020-02-28,인천,1,0
2020-02-28,전남,0,0
2020-02-28,전북,2,0
2020-02-28,제주,0,0
2020-02-28,충남,9,0
2020-02-28,충북,3,0
2020-02-29,강원,1,0
2020-02-29,검역,0,0
2020-02-29,경기,10,0
2020-02-29,경남,13,0
2020-02-29,경북,75,0
2020-02-29,계(명),909,3
2020-02-29,광주,0,0
2020-02-29,대구,742,3
2020-02-29,대전,1,0
2020-02-29,부산,14,0
2020-02-29,서울,12,0
2020-02-29,세종,0,0
2020-02-29,울산,6,0
2020-02-29,인천,2,0
2020-02-29,전남,1,0
2020-02-29,전북,0,0
2020-02-29,제주,0,0
2020-02-29,충남,32,0
2020-02-29,충북,0,0
2020-03-01,강원,0,0
2020-03-01,검역,0,0
2020-03-01,경기,8,0
2020-03-01,경남,1,0
2020-03-01,경북,48,0
2020-03-01,계(명),595,1
2020-03-01,광주,0,0
2020-03-01,대구,512,1
2020-03-01,대전,0,0
2020-03-01,부산,4,0
2020-03-01,서울,8,0
2020-03-01,세종,0,0
2020-03-01,울산,0,0
2020-03-01,인천,0,0
2020-03-01,전남,1,0
2020-03-01,전북,0,0
2020-03-01,제주,0,0
2020-03-01,충남,12,0
2020-03-01,충북,1,0
2020-03-02,강원,12,0
2020-03-02,검역,0,0
2020-03-02,경기,8,0
2020-03-02,경남,2,0
2020-03-02,경북,108,0
2020-03-02,계(명),686,6
2020-03-02,광주,0,0
2020-03-02,대구,517,6
2020-03-02,대전,1,0
2020-03-02,부산,6,0
2020-03-02,서울,9,0
2020-03-02,세종,0,0
2020-03-02,울산,3,0
2020-03-02,인천,1,0
2020-03-02,전남,1,0
2020-03-02,전북,1,0
2020-03-02,제주,0,0
2020-03-02,충남,17,0
2020-03-02,충북,0,0
2020-03-03,강원,1,0
