sido,sigungu,monthly_cases,date
전남,구례군,0,2020-03-01
전남,나주시,0,2020-03-01
전남,담양군,0,2020-03-01
전남,목포시,3,2020-03-01
전남,무안군,1,2020-03-01
전남,보성군,0,2020-03-01
전남,순천시,0,2020-03-01
전남,신안군,0,2020-03-01
전남,여수시,1,2020-03-01
전남,영광군,0,2020-03-01
전남,영암군,0,2020-03-01
전남,완도군,0,2020-03-01
전남,장성군,0,2020-03-01
전남,장흥군,0,2020-03-01
전남,진도군,0,2020-03-01
전남,함평군,0,2020-03-01
전남,합계,7,2020-03-01
전남,해남군,0,2020-03-01
전남,화순군,1,2020-03-01
전북,고창군,0,2020-03-01
전북,군산시,2,2020-03-01
전북,김제시,0,2020-03-01
전북,남원시,0,2020-03-01
전북,무주군,0,2020-03-01
전북,부안군,0,2020-03-01
전북,순창군,0,2020-03-01
전북,완주군,0,2020-03-01
전북,익산시,1,2020-03-01
전북,임실군,0,2020-03-01
전북,장수군,0,2020-03-01
전북,전주시 덕진구,0,2020-03-01
전북,전주시 완산구,5,2020-03-01
전북,정읍시,0,2020-03-01
전북,진안군,0,2020-03-01
전북,합계,8,2020-03-01
제주,서귀포시,1,2020-03-01
제주,제주시,6,2020-03-01
제주,합계,7,2020-03-01
충남,계룡시,0,2020-03-01
충남,공주시,0,2020-03-01
충남,금산군,0,2020-03-01
충남,논산시,0,2020-03-01
충남,당진시,0,2020-03-01
충남,보령시,0,2020-03-01
충남,부여군,5,2020-03-01
충남,서산시,8,2020-03-01
충남,서천군,0,2020-03-01
충남,아산시,3,2020-03-01
충남,예산군,0,2020-03-01
충남,천안시 동남구,25,2020-03-01
충남,천안시 서북구,36,2020-03-01
충남,청양군,0,2020-03-01
충남,태안군,1,2020-03-01
충남,합계,80,2020-03-01
충남,홍성군,2,2020-03-01
충북,괴산군,11,2020-03-01
충북,단양군,1,2020-03-01
충북,보은군,0,2020-03-01
충북,영동군,0,2020-03-01
충북,옥천군,0,2020-03-01
충북,음성군,4,2020-03-01
충북,제천시,0,2020-03-01
충북,증평군,1,2020-03-01
충북,진천군,2,2020-03-01
충북,청주시 상당구,4,2020-03-01
충북,청주시 서원구,0,2020-03-01
충북,청주시 청원구,0,2020-03-01
충북,청주시 흥덕구,3,2020-03-01
충북,충주시,8,2020-03-01
충북,합계,34,2020-03-01
강원,강릉시,1,2020-04-01
강원,고성군,0,2020-04-01
강원,동해시,0,2020-04-01
강원,삼척시,0,2020-04-01
강원,속초시,0,2020-04-01
강원,양구군,0,2020-04-01
강원,양양군,1,2020-04-01
강원,영월군,1,2020-04-01
강원,원주시,2,2020-04-01
강원,인제군,0,2020-04-01
강원,정선군,0,2020-04-01
강원,철원군,9,2020-04-01
강원,춘천시,2,2020-04-01
강원,태백시,0,2020-04-01
강원,평창군,0,2020-04-01
강원,합계,17,2020-04-01
강원,홍천군,0,2020-04-01
강원,화천군,0,2020-04-01
강원,횡성군,1,2020-04-01
검역,합계,229,2020-04-01
경기,가평군,1,2020-04-01
경기,고양시 덕양구,4,2020-04-01
경기,고양시 일산동구,2,2020-04-01
경기,고양시 일산서구,4,2020-04-01
경기,과천시,0,2020-04-01
경기,광명시,4,2020-04-01
경기,광주시,4,2020-04-01
경기,구리시,2,2020-04-01
경기,군포시,8,2020-04-01
경기,김포시,5,2020-04-01
경기,남양주시,16,2020-04-01
경기,동두천시,5,2020-04-01
경기,부천시,6,2020-04-01
경기,성남시 분당구,7,2020-04-01
경기,성남시 수정구,2,2020-04-01
경기,성남시 중원구,7,2020-04-01
