date,vax1_rate,vax2_rate,vax3_rate,fatality_rate_7d
2021-10-06,74.6815491752617,53.96573527694909,0.00455537394170862,0.42335268009559573
2021-10-07,74.74188827855241,55.29795673837421,0.0047023847186570475,0.4342132469501689
2021-10-08,74.81642862289635,57.33752153315853,0.004831754202371664,0.401493273226738
2021-10-09,74.83321921376755,57.52218863058638,0.004980725123012738,0.4028197381671702
2021-10-10,74.8363789654001,57.55321378495357,0.005061091014411212,0.5070464544031019
2021-10-11,74.99996079712614,57.865762617033326,0.005196340929203765,0.536892161374444
2021-10-12,75.1706344287322,58.972894897800856,0.006774256601783558,0.546448087431694
2021-10-13,75.26476444914043,59.72487854361638,0.00959882366288602,0.5580718214170172
2021-10-14,75.35693628599971,60.58126140264589,0.013105520729029188,0.6145815793904698
2021-10-15,75.505446572873,61.91434924758317,0.01775890185537009,0.6233538191395961
2021-10-16,75.61161383569778,62.561939560615755,0.01805684369665224,0.7508594174054641
2021-10-17,75.61391700453663,62.59616954992043,0.018137209588050714,0.7719878687620623
2021-10-18,75.7435667887993,63.764711172434865,0.021147990299954515,0.7899934167215273
2021-10-19,75.80814372275351,64.58024463690964,0.02529957464097812,0.9073359073359074
2021-10-20,75.9350414652717,65.16427925085189,0.033788956973826674,0.8888888888888888
2021-10-21,76.04555828695045,65.92058109322232,0.045324402605046644,0.9235765756622348
2021-10-22,76.16375103132961,67.07398452599844,0.05750865579853236,1.0304985947746435
2021-10-23,76.25926687332853,67.67475092650112,0.05874942675597708,1.052853232259423
2021-10-24,76.26484348213411,67.7035669989267,0.05885919480276525,1.094852089693652
2021-10-25,76.40994115883852,68.49331085283735,0.07615942303405625,1.0684647302904564
2021-10-26,76.48325641337455,69.0014408624256,0.10082979154969508,0.9865744507729861
2021-10-27,76.62839917338388,69.4672239276779,0.1262018915073011,0.949769901106433
2021-10-28,76.74516885344217,70.5952376192032,0.14454687632677227,0.8913802609814373
2021-10-29,76.85347267289193,71.85892069627127,0.16406402707444556,0.7694302757845596
2021-10-30,76.91943346829314,72.49593799422573,0.17055994327187343,0.6824535438250288
2021-10-31,76.92431226594414,72.53313956136846,0.17110682336212157,0.6405249179815654
2021-11-01,77.07991827298483,72.75523952289475,0.23624827869981632,0.631768953068592
2021-11-02,77.15772029643333,72.9159164216683,0.34239005965658126,0.6241280563918056
2021-11-03,77.28016263233812,73.05509250427723,0.44976869128340563,0.6558749651130338
2021-11-04,77.3944037270329,73.28470961686483,0.5342783264481326,0.7276931447225246
2021-11-05,77.52652329234829,73.57724930213004,0.6442149455938596,0.797373358348968
2021-11-06,77.61117797814629,73.6912061759894,0.6862208249272571,0.8362091850278737
2021-11-07,77.61485324757,73.69794122971732,0.6875400016324077,0.7747357363272274
2021-11-08,77.83513027546213,73.99049463598838,1.034444272213152,0.7971251225089839
2021-11-09,77.91921651958924,74.20570077214764,1.221195002386279,0.8035772146976865
2021-11-10,78.04901919505993,74.40069782683572,1.3980372061930817,0.783410138248848
2021-11-11,78.170675513344,74.60042470825418,1.6011414151939518,0.7618046890392066
2021-11-12,78.31817828635927,74.86596341415319,1.8714530709845651,0.7473939552874844
2021-11-13,78.42288524213302,75.04601437318486,1.9652185046659651,0.8218641967255887
2021-11-14,78.42641742106717,75.05203593460867,1.9688114480545849,0.8696212316413295
2021-11-15,78.54408680708038,75.2160254762228,2.2682194768188313,0.8497685331980469
2021-11-16,78.60672319877888,75.30261482384542,2.5220228024299822,0.8529575375486742
2021-11-17,78.69270490185679,75.42701926358656,2.766605612110928,0.8560632896445861
2021-11-18,78.77822205087953,75.5403920146255,3.0060998887657657,0.8639186900056465
2021-11-19,78.8711426626294,75.68023650623361,3.288268453753193,0.8871231087406117
2021-11-20,78.92157911998487,75.75119958833845,3.3597509739365967,0.8310393185477587
2021-11-21,78.92397245543359,75.75514731773545,3.362679428613409,0.8519595068657914
2021-11-22,79.0168519041659,75.92034430786424,3.6299469812493443,0.8759686191461712
2021-11-23,79.06981106645381,76.00076116299873,3.8852850993718366,0.8899714272331256
2021-11-24,79.1589936841818,76.1163625974162,4.169484373224845,0.9156193895870737
2021-11-25,79.25085777848135,76.24358964407476,4.539592824839129,0.9335601797321468
2021-11-26,79.35638799460601,76.40482518380071,5.078330478188031,0.9459743535841917
2021-11-27,79.41812272020587,76.49027372779422,5.205639850881676,1.0062484784549217
2021-11-28,79.41974375903969,76.49362557350864,5.209256315994608,1.0765362250510766
2021-11-29,79.47732690029855,76.69604961264817,5.539916875794397,1.087417576061389
